# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       76.6443       8.75467       1.39335      0.717695
              2       76.6443       8.75467       1.39335      0.717695
              3       96.0388       9.79994       1.55971      0.641145
              4       744.161       27.2793       4.34164      0.230328
              5       744.161       27.2793       4.34164      0.230328
              6       924.359       30.4033       4.83883      0.206661
              7       2374.05       48.7243       7.75471      0.128954
              8       2374.05       48.7243       7.75471      0.128954
              9        2890.4       53.7625       8.55656      0.116869
             10       5366.89       73.2591       11.6595     0.0857667
             11       5366.89       73.2591       11.6595     0.0857667
             12       6490.89       80.5661       12.8225      0.077988
             13       10199.2       100.991       16.0732     0.0622153
             14       10199.2       100.991       16.0732     0.0622153
             15       12250.5       110.682       17.6156     0.0567678
             16       16291.2       127.637        20.314     0.0492271
             17       16870.2       129.885       20.6719     0.0483749
             18       16870.2       129.885       20.6719     0.0483749
             19       17945.3        133.96       21.3204     0.0469034
             20       17945.3        133.96       21.3204     0.0469034
             21       19599.8       139.999       22.2816     0.0448802
             22       20222.2       142.205       22.6326     0.0441841
             23       20443.3        142.98        22.756     0.0439445
             24         20446       142.989       22.7575     0.0439416


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
    3.78094e+06   3.78094e+06   1.57594e+06   2.81755e+08   2.81755e+08      2.97e+08


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
    3.48928e+06   3.48928e+06   1.52928e+06   2.28916e+08   2.28916e+08   2.75005e+08


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
             10            10       13.1797


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1      0.773524      0.633243             0      -2.20665       2.69549             0
              2     -0.633243      0.773524             0      -2.69549      -2.20665             0
              3             0             0             0             0             0       12.8373
              4     0.0220937     -0.450161             0      -7.29136     -0.357858             0
              5     -0.450161    -0.0220937             0     -0.357858       7.29136             0
              6             0             0             0             0             0       4.43631
              7  -0.000429627      0.274828             0       2.45994    0.00384552             0
              8     -0.274828  -0.000429627             0   -0.00384552       2.45994             0
              9             0             0             0             0             0      -2.72618
             10     0.0999621    -0.0994256             0      -1.40293       -1.4105             0
             11     0.0994256     0.0999621             0        1.4105      -1.40293             0
             12             0             0             0             0             0      -1.96458
             13      0.125283    -0.0629114             0      -0.61894      -1.23257             0
             14    -0.0629114     -0.125283             0      -1.23257       0.61894             0
             15             0             0             0             0             0       1.56172
             16             0             0      -1.82514             0             0             0
             17     0.0535037    -0.0914719             0      -2.02248      -1.18299             0
             18     0.0914719     0.0535037             0       1.18299      -2.02248             0
             19     0.0465547    -0.0471739             0       8.09801       7.99171             0
             20    -0.0471739    -0.0465547             0       7.99171      -8.09801             0
             21             0             0             0             0             0             0
             22             0             0             0             0             0      -1.27199
             23             0             0             0             0             0             0
             24             0             0     -0.751978             0             0             0


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1   1.68986e+06   1.13252e+06             0   1.37522e+07     2.052e+07             0
              2   1.13252e+06   1.68986e+06             0     2.052e+07   1.37522e+07             0
              3             0             0             0             0             0   2.23725e+08
              4       857.809        356112             0   9.34263e+07        225047             0
              5        356112       857.809             0        225047   9.34263e+07             0
              6             0             0             0             0             0   2.71152e+07
              7      0.334727        136971             0   1.09738e+07       26.8175             0
              8        136971      0.334727             0       26.8175   1.09738e+07             0
              9             0             0             0             0             0   1.06886e+07
             10       38294.7       37884.8             0   7.54289e+06   7.62451e+06             0
             11       37884.8       38294.7             0   7.62451e+06   7.54289e+06             0
             12             0             0             0             0             0    5.9285e+06
             13       37733.1       9514.72             0        920945   3.65225e+06             0
             14       9514.72       37733.1             0   3.65225e+06        920945             0
             15             0             0             0             0             0    3.6901e+06
             16             0             0   1.14262e+06             0             0             0
             17       7194.05       21027.2             0   1.02795e+07   3.51695e+06             0
             18       21027.2       7194.05             0   3.51695e+06   1.02795e+07             0
             19       593.805       609.706             0   1.79669e+07   1.74983e+07             0
